Nombre Archivo,Descripción,Tipo,Fecha,Modelo
2025-11-16_manual_confusion_matrix_cnn_simple.png,Matriz de confusión normalizada del modelo CNN Simple (2B),Matriz de Confusión,2025-11-16,cnn_simple
2025-11-16_manual_errores_tipicos_cnn_simple.png,12 ejemplos de errores típicos de clasificación,Errores Visualizados,2025-11-16,cnn_simple
