epoch,loss,accuracy,val_loss,val_accuracy
1,1.9022228717803955,0.3052250146865845,1.5269325971603394,0.45179998874664307
2,1.6398683786392212,0.41612499952316284,1.4050896167755127,0.5059000253677368
3,1.5486042499542236,0.4550749957561493,1.3661717176437378,0.5295000076293945
4,1.4797180891036987,0.4859749972820282,1.3900527954101562,0.5358999967575073
5,1.4393177032470703,0.5047000050544739,1.2838600873947144,0.571399986743927
6,1.4013628959655762,0.5162749886512756,1.2555922269821167,0.5907999873161316
7,1.3701337575912476,0.5342249870300293,1.199599266052246,0.6050999760627747
8,1.3420332670211792,0.5437999963760376,1.1459977626800537,0.6205000281333923
9,1.3188754320144653,0.5559750199317932,1.145538330078125,0.6247000098228455
10,1.3047289848327637,0.5650249719619751,1.1776247024536133,0.6175000071525574
11,1.2876492738723755,0.5738750100135803,1.1715476512908936,0.6263999938964844
12,1.2718479633331299,0.5808749794960022,1.1754404306411743,0.626800000667572
13,1.1932928562164307,0.6068000197410583,1.1194887161254883,0.6467000246047974
14,1.1723911762237549,0.6179249882698059,1.1007438898086548,0.6547999978065491
15,1.1651862859725952,0.619825005531311,1.096802830696106,0.6579999923706055
16,1.1531602144241333,0.6236500144004822,1.052188515663147,0.6675000190734863
17,1.1507433652877808,0.6253250241279602,1.055245280265808,0.6622999906539917
18,1.1398261785507202,0.6286749839782715,1.0227367877960205,0.6754000186920166
19,1.1355503797531128,0.6310250163078308,1.0381977558135986,0.6693000197410583
20,1.1277128458023071,0.6335499882698059,1.03581964969635,0.6718000173568726
21,1.1192742586135864,0.6381000280380249,1.012745976448059,0.6773999929428101
22,1.113592505455017,0.6364750266075134,1.0189129114151,0.6762999892234802
23,1.1114695072174072,0.6392250061035156,1.010681390762329,0.6809999942779541
24,1.101415753364563,0.6407250165939331,1.0538849830627441,0.6657000184059143
25,1.105322241783142,0.6433249711990356,1.0136138200759888,0.6782000064849854
26,1.0967847108840942,0.6414499878883362,1.050401210784912,0.6697999835014343
27,1.0793465375900269,0.6498500108718872,0.9849434494972229,0.6887999773025513
28,1.0769035816192627,0.6495500206947327,0.9984613060951233,0.6848999857902527
29,1.0736703872680664,0.6508499979972839,0.9752508997917175,0.6899999976158142
30,1.0703444480895996,0.6535500288009644,0.9765682816505432,0.6919000148773193
