Modelo,Parámetros,Épocas Completadas,Tiempo Total (s),Val Loss,Val Accuracy,Test Accuracy
CNN Simple,545098,15,56.51,0.9121,0.6943 (69.43%),0.6962 (69.62%)
CNN L2 + Early Stop,545098,16,56.61,0.9844,0.6894 (68.94%),0.6933 (69.33%)
