epoch,loss,accuracy,val_loss,val_accuracy
1,1.7294843196868896,0.36182498931884766,1.3721427917480469,0.5024999976158142
2,1.421241283416748,0.48537498712539673,1.1889370679855347,0.5789999961853027
3,1.2935434579849243,0.537975013256073,1.098789095878601,0.6154999732971191
4,1.212151288986206,0.5674999952316284,1.0179998874664307,0.6419000029563904
5,1.1458945274353027,0.5900750160217285,1.0000956058502197,0.6538000106811523
6,1.0935593843460083,0.6074000000953674,0.989672839641571,0.6513000130653381
7,1.046789288520813,0.6263750195503235,0.9598569273948669,0.6621000170707703
8,1.0092101097106934,0.6394000053405762,0.956611156463623,0.6646999716758728
9,0.9695812463760376,0.6510499715805054,0.9148239493370056,0.6773999929428101
10,0.932381272315979,0.6670500040054321,0.9145472645759583,0.6808000206947327
11,0.8995634913444519,0.6755750179290771,0.9051905274391174,0.6870999932289124
12,0.8671128749847412,0.6876500248908997,0.8809714913368225,0.6955000162124634
13,0.8312544226646423,0.7007250189781189,0.8845557570457458,0.694599986076355
14,0.8062596321105957,0.7095500230789185,0.9180858135223389,0.6952000260353088
15,0.7780581712722778,0.7199000120162964,0.9121482372283936,0.6942999958992004
