accuracy,loss,val_accuracy,val_loss,epoch
0.3206000030040741,1.8739759922027588,0.45840001106262207,1.522089958190918,1
0.4390999972820282,1.593105435371399,0.5220000147819519,1.4050753116607666,2
0.4772999882698059,1.508129358291626,0.5164999961853027,1.4181522130966187,3
0.5047000050544739,1.466491937637329,0.5672000050544739,1.3096274137496948,4
0.5320000052452087,1.4060598611831665,0.539900004863739,1.4001531600952148,5
0.5533999800682068,1.3641226291656494,0.5720000267028809,1.3383158445358276,6
0.5676000118255615,1.3298143148422241,0.61080002784729,1.2419273853302002,7
0.582099974155426,1.3039289712905884,0.6085000038146973,1.2693554162979126,8
0.6015750169754028,1.2606744766235352,0.6022999882698059,1.2891901731491089,9
0.6157749891281128,1.217713713645935,0.618399977684021,1.2629939317703247,10
0.6348249912261963,1.1803921461105347,0.6169999837875366,1.2723827362060547,11
0.6514750123023987,1.14094877243042,0.6215000152587891,1.2893370389938354,12
0.6702749729156494,1.0890856981277466,0.6406999826431274,1.2742202281951904,13
0.6858749985694885,1.051937222480774,0.6355000138282776,1.2641502618789673,14
