Modelo,Parámetros,Tiempo/Época (s),Val Accuracy,Test Accuracy
MLP Baseline,789258,9.23,0.3251 (32.51%),0.3154 (31.54%)
CNN Simple,545098,73.36,0.6997 (69.97%),0.6957 (69.57%)
